"brand snippet",brand snippet
"Enable to match the Brand Attribute code from Magento to %schema %link.","Enable to match the Brand Attribute code from Magento to %schema %link."
"category snippet","category snippet"
"Enable to match the product category to %schema %link.","Enable to match the product category to %schema %link."
"color snippet","color snippet"
"Enable to match the Color Attribute code from Magento to %schema %link.","Enable to match the Color Attribute code from Magento to %schema %link."
"priority of the categories","priority of the categories"
"Map any existing product attribute to the Schema.org %link.","Map any existing product attribute to the Schema.org %link."
"Assign the current product attribute options to the Schema.org condition options such as %new, %used, %refurbished or %damaged.","Assign the current product attribute options to the Schema.org condition options such as %new, %used, %refurbished or %damaged."
Example,Example
"A comma-delimited list of %schema_link property name and attribute codes.%br%htmlNote%br mpn,mpn_code %br For JSON-LD will be converted to: %br { ... ""mpn"":""12343"" ... } %br","A comma-delimited list of %schema_link property name and attribute codes.%br%htmlNote%br mpn,mpn_code %br For JSON-LD will be converted to: %br { ... ""mpn"":""12343"" ... } %br"
"store snippet","store snippet"
"Populate the description property for the %schema %link.","Populate the description property for the %schema %link."
"description snippet","description snippet"
"Select the Description Attribute Code from Magento match it to %schema %link","Select the Description Attribute Code from Magento match it to %schema %link"
"Free shipping markup","Free shipping markup"
"This setting allows you to enable the %link for the products.","This setting allows you to enable the %link for the products."
"manufacurer snippet","manufacurer snippet"
"Enable to match the Manufacturer code from Magento to %schema %link.","Enable to match the Manufacturer code from Magento to %schema %link."
Note,Note
"rich snippets","rich snippets"
"Adds %link to your existing website HTML. %br%htmlNote adding snippets to your site in the search results may take some time as the search bots do not include this information immediately.","Adds %link to your existing website HTML. %br%htmlNote adding snippets to your site in the search results may take some time as the search bots do not include this information immediately."
"Merchant Return Policy markup","Merchant Return Policy markup"
"model snippet","model snippet"
"Enable to match the Model Attribute code from Magento to %schema %link.","Enable to match the Model Attribute code from Magento to %schema %link."
"special page","special page"
"Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the %link.","Adds the snippets that will be shown on the search engine results page. The store owner can preview the snippet data on the %link."
"By default and without any configurations, the product entity will include the following attributes: product name, preview image, rating, price, availability and website language.","By default and without any configurations, the product entity will include the following attributes: product name, preview image, rating, price, availability and website language."
"Type (by %schema)","Type (by %schema)"
type,type
"Select your business %link","Select your business %link"
"Shipping Details markup","Shipping Details markup"
"SKU snippet","SKU snippet"
"Enable to match the SKU Attribute code from Magento to %schema %link.","Enable to match the SKU Attribute code from Magento to %schema %link."
"weight snippet","weight snippet"
"Enable to match the product weight to %schema %link.","Enable to match the product weight to %schema %link."
Home,Home
"Go to Home Page","Go to Home Page"
"-- Please Select --","-- Please Select --"
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Sunday,Sunday
"--Please Select--","--Please Select--"
"Page Title (%1)","Page Title (%1)"
"Content Heading (%1)","Content Heading (%1)"
"Meta Title (%1)","Meta Title (%1)"
"Meta Keywords (%1)","Meta Keywords (%1)"
"Meta Description (%1)","Meta Description (%1)"
"All Pages","All Pages"
"Home Page","Home Page"
lb,lb
kg,kg
SEO,SEO
"SEO Markup","SEO Markup"
Product,Product
"These settings are for the snippet configuration on the products pages.","These settings are for the snippet configuration on the products pages."
"Enable In Rich Snippets","Enable In Rich Snippets"
"Show Product microdata for products without offers and rating","Show Product microdata for products without offers and rating"
"Enable for Google Assistant","Enable for Google Assistant"
"CSS Selectors","CSS Selectors"
"You can specify a few values separated by commas.","You can specify a few values separated by commas."
"Best Rating","Best Rating"
"Add Review Markup","Add Review Markup"
