Save Custom Redirect,Speichern der benutzerdefinierten Weiterleitung
Edit Custom Redirect '%1',Benutzerdefinierte Weiterleitung '%1' bearbeiten
New Redirect,Neue Weiterleitung
Custom Redirect Properties,Eigenschaften für benutzerdefinierte Weiterleitungen
SEO Redirect Settings,SEO-Weiterleitungs-Einstellungen
for %1,für %1
Status,Status
Redirect Code,Weiterleitungscode
Redirect From:,Von weiterleiten:
Type,Typ
"Store URL part will be added automatically:<br>
                            'my/custom/url' will be converted to 'http[s]://(store_URL_here)/my/custom/url'","Der Store-URL-Teil wird automatisch hinzugefügt:<br>
                            'meine/benutzerdefinierte/url' wird zu 'http[s]://(store_URL_hier)/meine/benutzerdefinierte/url' konvertiert."
URL,URL
Redirect To:,Zu weiterleiten:
"Link without 'http[s]://' as 'my/custom/url'
                            will be converted to 'http[s]://(store_URL_here)/my/custom/url'<br>
                            Link with 'http[s]://' will be added as it is.","Link ohne 'http[s]://' wie 'meine/benutzerdefinierte/url'
                            wird zu 'http[s]://(store_URL_hier)/meine/benutzerdefinierte/url' konvertiert.<br>
                            Ein Link mit 'http[s]://' wird so hinzugefügt, wie er ist."
Active From,Aktiv von
Active To,Aktiv bis
Select Category...,Kategorie auswählen...
Select Product...,Produkt auswählen...
Select Page...,Seite auswählen...
Select Landing Page...,Landing Page auswählen...
Store View,Store-Ansicht
Custom Redirect,Benutzerdefinierte Weiterleitung
ID,ID
Product,Produkt
SKU,Artikelnummer
Visibility,Sichtbarkeit
"The selected category (ID#%1) does not belong to the store view (ID#%2) of the current redirect. Please, set another category.",Die ausgewählte Kategorie (ID#%1) gehört nicht zur Store-Ansicht (ID#%2) der aktuellen Weiterleitung. Bitte wählen Sie eine andere Kategorie.
"The selected priority category (ID#%1) does not belong to the store view (ID#%2) of the current redirect. Please, set another category.",Die ausgewählte Prioritätskategorie (ID#%1) gehört nicht zur Store-Ansicht (ID#%2) der aktuellen Weiterleitung. Bitte wählen Sie eine andere Kategorie.
Redirect,Weiterleiten
New Custom Redirect,Neue benutzerdefinierte Weiterleitung
The Custom Redirect has been deleted.,Die benutzerdefinierte Weiterleitung wurde gelöscht.
Custom Redirect is not found.,Benutzerdefinierte Weiterleitung nicht gefunden.
Edit Custom Redirect,Benutzerdefinierte Weiterleitung bearbeiten
Custom SEO Redirects,Benutzerdefinierte SEO-Weiterleitungen bearbeiten
