"We add the special <b>SEO Name</b> attribute that can be used instead of the real Product name (populates the H1 tag).","We add the special <b>SEO Name</b> attribute that can be used instead of the real Product name (populates the H1 tag)."
"Choose the desired Product on the %productGridLink and click the Search Engine Optimization tab.","Choose the desired Product on the %productGridLink and click the Search Engine Optimization tab."
"SEO Name allows you keeping the product names short and relevant but optimize the H1 tag on the product pages at the same time.","SEO Name allows you keeping the product names short and relevant but optimize the H1 tag on the product pages at the same time."
"start typing to search category","start typing to search category"
Continue,Continue
"Edit Brand Page Template '%1'","Edit Brand Page Template '%1'"
"New Template","New Template"
"Brand Page Template Info","Brand Page Template Info"
Reference,Reference
"Store View","Store View"
"NOTE: ""All Store Views"" - Template will be written to the store view level.","NOTE: ""All Store Views"" - Template will be written to the store view level."
"""Default Values"" - Template will be written for default values field.","""Default Values"" - Template will be written for default values field."
"Default value is used if the store view value is empty.","Default value is used if the store view value is empty."
"Brand Page Templates","Brand Page Templates"
"Brand Page Template Information","Brand Page Template Information"
"Save Brand Page Template","Save Brand Page Template"
"Brand ID","Brand ID"
Brand,Brand
Status,Status
Brands,Brands
"See the changed tab in the tab list","See the changed tab in the tab list"
Name,Name
"Template Rule","Template Rule"
"Apply For","Apply For"
"Apply By Cron","Apply By Cron"
"Brand Page Template","Brand Page Template"
"Edit ""%1"" Template for Single-Store Mode","Edit ""%1"" Template for Single-Store Mode"
"Edit ""%1"" Template for Default Values","Edit ""%1"" Template for Default Values"
"Edit ""%1"" Template for All Store Views","Edit ""%1"" Template for All Store Views"
"Edit ""%1"" Template for ""%2"" Store View","Edit ""%1"" Template for ""%2"" Store View"
"SEO XTemplates: Unknow Brand Page Template Type","SEO XTemplates: Unknow Brand Page Template Type"
"inserts all chosen attributes of LN on the brand.","inserts all chosen attributes of LN on the brand."
Example:,Example:
"If ""color"", ""occasion"", and ""shoe size"" attributes are chosen, on the frontend you will see:","If ""color"", ""occasion"", and ""shoe size"" attributes are chosen, on the frontend you will see:"
"""Shoes – parameters: Color Red, Occasion Casual, Shoe Size 6.5""","""Shoes – parameters: Color Red, Occasion Casual, Shoe Size 6.5"""
"If no attributes are chosen, you will see: ""Shoes"".","If no attributes are chosen, you will see: ""Shoes""."
"insert attribute value if exists.","insert attribute value if exists."
"Will translate to ""Shoes in Color Red"" on the frontend.","Will translate to ""Shoes in Color Red"" on the frontend."
"Note: The variables [%s] and [%s] will be replaced by their values Only on the front-end.","Note: The variables [%s] and [%s] will be replaced by their values Only on the front-end."
"So, in the backend you will still see [%s] and [%s].","So, in the backend you will still see [%s] and [%s]."
"Randomizer feature is available. The construction like [Buy||Order||Purchase] will use a randomly picked word.","Randomizer feature is available. The construction like [Buy||Order||Purchase] will use a randomly picked word."
"
        Also randomizers can be used within other template variables, ex: [-parameters:||-filters: {filter_all}]. Number of randomizers blocks is not limited within the template.","
        Also randomizers can be used within other template variables, ex: [-parameters:||-filters: {filter_all}]. Number of randomizers blocks is not limited within the template."
"Edit Category Template '%1'","Edit Category Template '%1'"
"Category Template Info","Category Template Info"
"NOTE: Template will be added to the store view level.","NOTE: Template will be added to the store view level."
"Category Templates","Category Templates"
"Category Template Information","Category Template Information"
"Save Category Template","Save Category Template"
Categories,Categories
"SEO XTemplates: Unknow Category Template Type","SEO XTemplates: Unknow Category Template Type"
"inserts all chosen attributes of LN on the category page.","inserts all chosen attributes of LN on the category page."
"Randomizer feature is available. The construction like %1 will use a randomly picked word.","Randomizer feature is available. The construction like %1 will use a randomly picked word."
"Also randomizers can be used within other template variables, ex: %1. Number of randomizers blocks is not limited within the template.","Also randomizers can be used within other template variables, ex: %1. Number of randomizers blocks is not limited within the template."
"Category Filter Template Info","Category Filter Template Info"
"-- Please Select --","-- Please Select --"
Attribute,Attribute
"Category Filter Template","Category Filter Template"
"Category Filter Template Information","Category Filter Template Information"
"Save Category Filter Template","Save Category Filter Template"
"Edit Category Filter Template '%1'","Edit Category Filter Template '%1'"
"Attribute Value","Attribute Value"
"Each store","Each store"
"Edit ""%1"" Template for ""%2"" Store View and ""%3"" Attribute","Edit ""%1"" Template for ""%2"" Store View and ""%3"" Attribute"
"Edit Landing Page Template '%1'","Edit Landing Page Template '%1'"
"Landing Page Template Info","Landing Page Template Info"
"Landing Page Templates","Landing Page Templates"
"Landing Page Template Information","Landing Page Template Information"
"Save Landing Page Template","Save Landing Page Template"
ID,ID
Title,Title
"Landing Pages","Landing Pages"
"Landing Page Template","Landing Page Template"
"SEO XTemplates: Unknow Landing Page Template Type","SEO XTemplates: Unknow Landing Page Template Type"
"inserts all chosen attributes of LN on the landing page.","inserts all chosen attributes of LN on the landing page."
"Edit Product Template '%1'","Edit Product Template '%1'"
"Product Template Info","Product Template Info"
"Product Templates","Product Templates"
"Product template Information","Product template Information"
"Save Product Template","Save Product Template"
"Attribute Set","Attribute Set"
"Attribute Sets","Attribute Sets"
Type,Type
Visibility,Visibility
SKU,SKU
Price,Price
Products,Products
"Template ""%1"" has been applied.","Template ""%1"" has been applied."
"We can't find a brand page template to apply.","We can't find a brand page template to apply."
"Create Template","Create Template"
"The template no longer exists.","The template no longer exists."
"New Brand Page Template","New Brand Page Template"
"The ""%1"" template has been deleted.","The ""%1"" template has been deleted."
"We can't find a brand page template to delete.","We can't find a brand page template to delete."
"Edit Template","Edit Template"
"SEO Brand Page Templates","SEO Brand Page Templates"
"Templates for Brand","Templates for Brand"
"The ""%1"" template has been saved.","The ""%1"" template has been saved."
"Something went wrong while saving the template.","Something went wrong while saving the template."
