Save,Save
"Save & Generate","Save & Generate"
"Edit Sitemap '%1'","Edit Sitemap '%1'"
"New Sitemap","New Sitemap"
Sitemap,Sitemap
Filename,Filename
"Example: %1","Example: %1"
"Server Path","Server Path"
"Path to server root directory. Example: 'pub/' or 'second_website/' (path must be writeable). This path won't be added to its host links.","Path to server root directory. Example: 'pub/' or 'second_website/' (path must be writeable). This path won't be added to its host links."
Path,Path
"Example: ""sitemap/"" or ""/"" for base path (path must be writeable). This path will be added to links.","Example: ""sitemap/"" or ""/"" for base path (path must be writeable). This path will be added to links."
"Store View","Store View"
"Split Sitemap","Split Sitemap"
"Separate sitemaps will be created for selected entity types.","Separate sitemaps will be created for selected entity types."
"Sitemap file names will contain corresponding suffix.","Sitemap file names will contain corresponding suffix."
"E.g.: sitemap_products.xml","E.g.: sitemap_products.xml"
"Entity Type","Entity Type"
"the standard Magento XML sitemap settings","the standard Magento XML sitemap settings"
"NOTE: To specify frequency, priority, file limitations and another settings please use %1.","NOTE: To specify frequency, priority, file limitations and another settings please use %1."
"XML Sitemap by MageWorx","XML Sitemap by MageWorx"
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"The ""%1"" sitemap has been deleted.","The ""%1"" sitemap has been deleted."
"This sitemap no longer exists.","This sitemap no longer exists."
"Edit Sitemap","Edit Sitemap"
"Edit Sitemap ""%s""","Edit Sitemap ""%s"""
"Edit Sitemap ""%1""","Edit Sitemap ""%1"""
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"XML Sitemap","XML Sitemap"
"Mass Action successful on %1 records","Mass Action successful on %1 records"
"Mass Action failed.","Mass Action failed."
"A total of %1 record(s) have been deleted","A total of %1 record(s) have been deleted"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"A total of %1 sitemap(s) have been generated.","A total of %1 sitemap(s) have been generated."
"An error occurred while generating sitemap(s).","An error occurred while generating sitemap(s)."
"Incorrect data.","Incorrect data."
"Sitemap %1 was successfully saved","Sitemap %1 was successfully saved"
"Something went wrong while saving the sitemap.","Something went wrong while saving the sitemap."
Add,Add
Crop,Crop
