SKU	Product ID	Short Description	Category Name	Brand	Model	Image Link	Product URL	Price	Shipment Costs
R001	14	The Teltonika RUT500 is a compact HSPA+ 3G router with high speed wireless and Ethernet connections. 	3G 4G LTE Routers	Teltonika	Teltonika RUT500 HSPA+ Router	http://www.3gmobilecctv.com/media/catalog/product/r/u/rut500.gif	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/14/	135.00	0
R002	15	WLink WL-200H 3G HSPA+ 21Mbps industrial router, 1 x LAN, 1 x WAN, RS-232	3G 4G LTE Routers	WLink	WLink WL-200H 3G HSPA+ 21Mbps industrial router, 1 x LAN, 1 x WAN, RS-232	http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/15/	139.00	0
R003	16	WLink WL-200H-W 3G HSPA+ 21Mbps industrial router, 1 x LAN, 1 x WAN, RS232, WiFi 	3G 4G LTE Routers	WLink	WLink WL-200H-W 3G HSPA+ 21Mbps industrial router, 1 x LAN, 1 x WAN, RS232, WiFi 	http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200_1.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/16/	149.00	0
R004	17	WLink WL-200L 4G LTE 100Mbps industrial router, 1 x LAN, 1 x WAN, RS-232 	3G 4G LTE Routers	WLink	WLink WL-200L 4G LTE 100Mbps industrial router, 1 x LAN, 1 x WAN, RS-232 	http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200_2.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/17/	239.00	0
R005	18	WLink WL-200-W 4G LTE 100Mbps industrial router, 1 x LAN, 1 x WAN, RS-232, WiFi	3G 4G LTE Routers	WLink	WLink WL-200-W 4G LTE 100Mbps industrial router, 1 x LAN, 1 x WAN, RS-232, WiFi	http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200_3.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/18/	249.00	0
R006	19	WLink WL-520H 3G HSPA+ 21Mbps industrial router, 4 x LAN, 1 x WAN, RS232	3G 4G LTE Routers	WLink	WLink WL-520H 3G HSPA+ 21Mbps industrial router, 4 x LAN, 1 x WAN, RS232	http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200_4.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/19/	165.00	0
R007	20	WLink WL-520H 3G HSPA+ 21Mbps industrial router, 4 x LAN, 1 x WAN, RS-232, WiFi	3G 4G LTE Routers	WLink	WLink WL-520H 3G HSPA+ 21Mbps industrial router, 4 x LAN, 1 x WAN, RS-232, WiFi	http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-r620.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/20/	176.00	0
R008	21	WLink WL-520L 4G LTE 100Mbps industrial router, 4 x LAN, 1 x WAN, RS232	3G 4G LTE Routers	WLink	WLink WL-520L 4G LTE 100Mbps industrial router, 4 x LAN, 1 x WAN, RS232	http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-r620_1_.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/21/	259.00	0
R009	22	WLink WL-520L-D 4G LTE 100Mbps industrial router, 4 x LAN, 1 x WAN, RS232, WiFi 	3G 4G LTE Routers	WLink	WLink WL-520L-D 4G LTE 100Mbps industrial router, 4 x LAN, 1 x WAN, RS232, WiFi 	http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-r620_1.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/22/	269.00	0
R10	23	WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings.	3G Surveillance Cameras	3G Mobile	WH0M3WGSN WCDMA 0.3MP IR waterproof outdoor snapshot camera 	http://www.3gmobilecctv.com/media/catalog/product/q/q/qq_20130729163554.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/23/	225.00	0
R11	24	WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. 	3G Surveillance Cameras	3G Mobile	WH1M0WGSN WCDMA 1MP IR waterproof outdoor snapshot camera 	http://www.3gmobilecctv.com/media/catalog/product/q/q/qq_20130729163554_1.jpg	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/24/	245.00	0
R12	25	WCDMA indoor dome snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings.	3G Surveillance Cameras		WH2M0WGS WCDMA 2MP indoor dome snapshot camera 	http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_om3ggs_d.png	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/25/	182.00	0
R13	26	WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. 	CCTV Camera	3G Mobile	WH2M0WGS-G WCDMA 2MP waterproof outdoor snapshot camera 	http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_1m0ggs_g.png	http://www.3gmobilecctv.com/index.php/catalog/product/view/id/26/	220.00	0
