Code,Name,Description,Category,Price,Product_URL,Image_URL,Brand
14,"Teltonika RUT500 HSPA+ Router","The Teltonika RUT500 is a compact HSPA+ 3G router with high speed wireless and Ethernet connections. ","3G 4G LTE Routers",135.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/14/,http://www.3gmobilecctv.com/media/catalog/product/r/u/rut500.gif,Teltonika
15,"WLink WL-200H 3G HSPA+ 21Mbps industrial router, 1 x LAN, 1 x WAN, RS-232","WLink WL-200H 3G HSPA+ 21Mbps industrial router, 1 x LAN, 1 x WAN, RS-232","3G 4G LTE Routers",139.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/15/,http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200.jpg,WLink
16,"WLink WL-200H-W 3G HSPA+ 21Mbps industrial router, 1 x LAN, 1 x WAN, RS232, WiFi ","WLink WL-200H-W 3G HSPA+ 21Mbps industrial router, 1 x LAN, 1 x WAN, RS232, WiFi ","3G 4G LTE Routers",149.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/16/,http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200_1.jpg,WLink
17,"WLink WL-200L 4G LTE 100Mbps industrial router, 1 x LAN, 1 x WAN, RS-232 ","WLink WL-200L 4G LTE 100Mbps industrial router, 1 x LAN, 1 x WAN, RS-232 ","3G 4G LTE Routers",239.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/17/,http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200_2.jpg,WLink
18,"WLink WL-200-W 4G LTE 100Mbps industrial router, 1 x LAN, 1 x WAN, RS-232, WiFi","WLink WL-200-W 4G LTE 100Mbps industrial router, 1 x LAN, 1 x WAN, RS-232, WiFi","3G 4G LTE Routers",249.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/18/,http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200_3.jpg,WLink
19,"WLink WL-520H 3G HSPA+ 21Mbps industrial router, 4 x LAN, 1 x WAN, RS232","WLink WL-520H 3G HSPA+ 21Mbps industrial router, 4 x LAN, 1 x WAN, RS232","3G 4G LTE Routers",165.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/19/,http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-200_4.jpg,WLink
20,"WLink WL-520H 3G HSPA+ 21Mbps industrial router, 4 x LAN, 1 x WAN, RS-232, WiFi","WLink WL-520H 3G HSPA+ 21Mbps industrial router, 4 x LAN, 1 x WAN, RS-232, WiFi","3G 4G LTE Routers",176.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/20/,http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-r620.jpg,WLink
21,"WLink WL-520L 4G LTE 100Mbps industrial router, 4 x LAN, 1 x WAN, RS232","WLink WL-520L 4G LTE 100Mbps industrial router, 4 x LAN, 1 x WAN, RS232","3G 4G LTE Routers",259.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/21/,http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-r620_1_.jpg,WLink
22,"WLink WL-520L-D 4G LTE 100Mbps industrial router, 4 x LAN, 1 x WAN, RS232, WiFi ","WLink WL-520L-D 4G LTE 100Mbps industrial router, 4 x LAN, 1 x WAN, RS232, WiFi ","3G 4G LTE Routers",269.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/22/,http://www.3gmobilecctv.com/media/catalog/product/w/l/wl-r620_1.jpg,WLink
23,"WH0M3WGSN WCDMA 0.3MP IR waterproof outdoor snapshot camera ","WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings.","3G Surveillance Cameras",225.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/23/,http://www.3gmobilecctv.com/media/catalog/product/q/q/qq_20130729163554.jpg,"3G Mobile"
24,"WH1M0WGSN WCDMA 1MP IR waterproof outdoor snapshot camera ","WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. ","3G Surveillance Cameras",245.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/24/,http://www.3gmobilecctv.com/media/catalog/product/q/q/qq_20130729163554_1.jpg,"3G Mobile"
25,"WH2M0WGS WCDMA 2MP indoor dome snapshot camera ","WCDMA indoor dome snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings.","3G Surveillance Cameras",182.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/25/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_om3ggs_d.png,
26,"WH2M0WGS-G WCDMA 2MP waterproof outdoor snapshot camera ","WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. ","CCTV Camera",220.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/26/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_1m0ggs_g.png,"3G Mobile"
27,"WH2M0WGSN1M0 WCDMA 2MP day / night IR waterproof outdoor snapshot camera ","WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. ","3G Surveillance Cameras",235.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/27/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_5m0ggsn_1m0.png,"3G Mobile"
28,"WH3M0WGS WCDMA 3MP indoor dome snapshot camera ","WCDMA indoor dome snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings.","3G Surveillance Cameras",215.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/28/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_om3ggs_d_1.png,"3G Mobile"
29,"WH3M0WGS-G WCDMA 3MP waterproof outdoor snapshot camera ","WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings.","3G Surveillance Cameras",232.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/29/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_1m0ggs_g_1.png,"3G Mobile"
30,"WH3M0WGSN1M0 WCDMA 3MP day / 1MP night IR waterproof outdoor snapshot camera ","WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. ","3G Surveillance Cameras",245.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/30/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_5m0ggsn_1m0_1.png,"3G Mobile"
31,"WH5M0WGS WCDMA 5MP indoor dome snapshot camera ","WCDMA indoor dome snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings.","3G Surveillance Cameras",235.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/31/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_om3ggs_d_2.png,"3G Mobile"
32,"WH5M0WGS-G WCDMA 5MP waterproof outdoor sleep mode snapshot camera with solar power ","Solar powered WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. ","3G Surveillance Cameras",425.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/32/,http://www.3gmobilecctv.com/media/catalog/product/s/o/solar-snap-shot-camera.jpg,"3G Mobile"
33,"WH5M0WGS-G WCDMA 5MP waterproof outdoor snapshot camera ","WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. ","3G Surveillance Cameras",245.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/33/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_1m0ggs_g_2.png,"3G Mobile"
34,"WH5M0WGSN1M0 WCDMA 5MP day / 1MP night IR waterproof outdoor snapshot camera ","WCDMA waterproof outdoor snapshot camera used for remote surveillance solutions for when there is not WLAN or ethernet network connection available in outside buildings. ","3G Surveillance Cameras",269.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/34/,http://www.3gmobilecctv.com/media/catalog/product/w/h/wh_5m0ggsn_1m0_2.png,"3G Mobile"
